==> results/mix_yeast/1M/70_Rap1_Reb1/ID/Simulation_1000_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	93
Extended-Tap	36

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
RAP1-Promoter|chr14:241439-241689	RANDOM_SEQ_500	N/A	13	4.215990537853766e-40
RAP1|chr14:241689-244172	RANDOM_SEQ_500	N-term	13	3.679561395713548e-27
REB1-Cterm|chr2:334136-334386	RANDOM_SEQ_500	N/A	7	2.335458345345627e-20
chr14:241251-241438	RANDOM_SEQ_500	N/A	3	1.038603244904912e-08
REB1|chr2:334386-336818	RANDOM_SEQ_500	N-term	3	2.204543289662985e-05
RAP1|chr14:241689-244172	RANDOM_SEQ_500	C-term	3	2.34426370678612e-05

==> results/mix_yeast/1M/70_Rap1_Reb1/ID/Simulation_100_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	62
Extended-Tap	34

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
RAP1-Promoter|chr14:241439-241689	RANDOM_SEQ_500	N/A	7	2.956189178339709e-21
RAP1|chr14:241689-244172	RANDOM_SEQ_500	N-term	6	4.883812715465345e-12
REB1-Cterm|chr2:334136-334386	RANDOM_SEQ_500	N/A	3	1.0228125259883898e-08
RAP1|chr14:241689-244172	RANDOM_SEQ_500	C-term	4	9.549139945572608e-08
REB1|chr2:334386-336818	RANDOM_SEQ_500	N-term	2	0.0007190126128222798

==> results/mix_yeast/1M/70_Rap1_Reb1/ID/Simulation_101_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	103
Extended-Tap	36

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
RAP1-Promoter|chr14:241439-241689	RANDOM_SEQ_500	N/A	16	6.185457292896784e-50
REB1-Cterm|chr2:334136-334386	RANDOM_SEQ_500	N/A	6	4.8207270341302886e-17
RAP1|chr14:241689-244172	RANDOM_SEQ_500	N-term	7	3.5920980226954437e-13
REB1|chr2:334386-336818	RANDOM_SEQ_500	C-term	5	4.232490678492402e-09
RAP1|chr14:241689-244172	RANDOM_SEQ_500	C-term	4	4.1385258236512045e-07
chr2:334063-334135	RANDOM_SEQ_500	N/A	1	0.0016450899635879195
chr14:241251-241438	RANDOM_SEQ_500	N/A	1	0.004267052678415287

==> results/mix_yeast/1M/70_Rap1_Reb1/ID/Simulation_102_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	85
Extended-Tap	31

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
RAP1-Promoter|chr14:241439-241689	RANDOM_SEQ_500	N/A	11	7.266886933144847e-34
RAP1|chr14:241689-244172	RANDOM_SEQ_500	C-term	12	2.5509311309669907e-25
REB1|chr2:334386-336818	RANDOM_SEQ_500	N-term	7	8.840943029269895e-14
REB1-Cterm|chr2:334136-334386	RANDOM_SEQ_500	N/A	4	2.150419059344878e-11
RAP1|chr14:241689-244172	RANDOM_SEQ_500	N-term	5	1.9136045192068446e-09
chr14:241251-241438	RANDOM_SEQ_500	N/A	1	0.0035622528268435933
REB1|chr2:334386-336818	RANDOM_SEQ_500	C-term	1	0.045350526506935336

==> results/mix_yeast/1M/70_Rap1_Reb1/ID/Simulation_103_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	75
Extended-Tap	28

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
RAP1-Promoter|chr14:241439-241689	RANDOM_SEQ_500	N/A	11	1.966763754439119e-34
REB1-Cterm|chr2:334136-334386	RANDOM_SEQ_500	N/A	5	1.1320465875213575e-14
REB1|chr2:334386-336818	RANDOM_SEQ_500	N-term	6	6.56654413135548e-12
RAP1|chr14:241689-244172	RANDOM_SEQ_500	C-term	4	1.2625137564202955e-07
