==> results/sacCer3/1M/R100/Spt4/ID/Simulation_1000_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	44
RANDOM_SEQ_100	11

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
SPT4|chr7:617516-617824		C-term	4	2.5077336380776305e-12
SPT4|chr7:617516-617824		N-term	4	2.5077336380776305e-12
SPT4-Cterm|chr7:617266-617516		N/A	3	1.925837259139499e-09
COX18-Promoter|chr7:617278-617528		N/A	3	1.925837259139499e-09

==> results/sacCer3/1M/R100/Spt4/ID/Simulation_100_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	31
RANDOM_SEQ_100	18

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
SPT4-Cterm|chr7:617266-617516		N/A	7	2.673287417614394e-23
COX18-Promoter|chr7:617278-617528		N/A	6	9.285553094604866e-20
SPT4|chr7:617516-617824		N-term	6	3.2454055323602055e-19
SPT4|chr7:617516-617824		C-term	3	2.546126404648409e-09
COX18|chr7:616328-617278		N-term	2	2.917376628071086e-05
COX18|chr7:616328-617278		C-term	1	0.00762882486782226

==> results/sacCer3/1M/R100/Spt4/ID/Simulation_101_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	45
RANDOM_SEQ_100	14

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
SPT4|chr7:617516-617824		C-term	6	9.885178251555567e-19
SPT4-Cterm|chr7:617266-617516		N/A	5	6.993976227948736e-16
COX18-Promoter|chr7:617278-617528		N/A	5	6.993976227948736e-16
SPT4|chr7:617516-617824		N-term	3	4.443065693131907e-09

==> results/sacCer3/1M/R100/Spt4/ID/Simulation_102_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	29
RANDOM_SEQ_100	16

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
SPT4-Cterm|chr7:617266-617516		N/A	7	1.4730996880514556e-23
COX18-Promoter|chr7:617278-617528		N/A	6	5.5715730258561e-20
SPT4|chr7:617516-617824		N-term	3	1.972401274768018e-09
SPT4|chr7:617516-617824		C-term	3	1.972401274768018e-09
SPT4-Promoter|chr7:617824-618074		N/A	2	1.710562290923674e-06
COX18|chr7:616328-617278		N-term	2	2.4615363595123753e-05
VHT1-Cterm|chr7:617827-618077		N/A	1	0.0018490579526495156
COX18|chr7:616328-617278		C-term	1	0.007008251230831911

==> results/sacCer3/1M/R100/Spt4/ID/Simulation_103_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	38
RANDOM_SEQ_100	12

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
SPT4-Cterm|chr7:617266-617516		N/A	5	3.058263285972339e-16
COX18-Promoter|chr7:617278-617528		N/A	5	3.058263285972339e-16
SPT4|chr7:617516-617824		C-term	4	1.7131519559762644e-12
SPT4|chr7:617516-617824		N-term	3	2.705111955467716e-09

==> results/sacCer3/1M/R100/Spt4/ID/Simulation_104_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	30
RANDOM_SEQ_100	15

