results/hg19/1M/R500/CTCF/runtime/Simulation_100.runtime:Experiment 3.1M.100 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 9
results/hg19/1M/R500/CTCF/runtime/Simulation_101.runtime:Experiment 3.1M.101 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 8
results/hg19/1M/R500/CTCF/runtime/Simulation_102.runtime:Experiment 3.1M.102 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 11
results/hg19/1M/R500/CTCF/runtime/Simulation_103.runtime:Experiment 3.1M.103 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 10
results/hg19/1M/R500/CTCF/runtime/Simulation_104.runtime:Experiment 3.1M.104 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 10
results/hg19/1M/R500/CTCF/runtime/Simulation_105.runtime:Experiment 3.1M.105 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 11
results/hg19/1M/R500/CTCF/runtime/Simulation_106.runtime:Experiment 3.1M.106 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 11
results/hg19/1M/R500/CTCF/runtime/Simulation_107.runtime:Experiment 3.1M.107 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 9
results/hg19/1M/R500/CTCF/runtime/Simulation_108.runtime:Experiment 3.1M.108 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 10
results/hg19/1M/R500/CTCF/runtime/Simulation_109.runtime:Experiment 3.1M.109 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 10
results/hg19/1M/R500/CTCF/runtime/Simulation_10.runtime:Experiment 3.1M.10 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 9
results/hg19/1M/R500/CTCF/runtime/Simulation_110.runtime:Experiment 3.1M.110 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 10
results/hg19/1M/R500/CTCF/runtime/Simulation_111.runtime:Experiment 3.1M.111 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 9
results/hg19/1M/R500/CTCF/runtime/Simulation_112.runtime:Experiment 3.1M.112 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 10
results/hg19/1M/R500/CTCF/runtime/Simulation_113.runtime:Experiment 3.1M.113 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 9
results/hg19/1M/R500/CTCF/runtime/Simulation_114.runtime:Experiment 3.1M.114 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 9
results/hg19/1M/R500/CTCF/runtime/Simulation_115.runtime:Experiment 3.1M.115 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 10
results/hg19/1M/R500/CTCF/runtime/Simulation_116.runtime:Experiment 3.1M.116 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 12
results/hg19/1M/R500/CTCF/runtime/Simulation_117.runtime:Experiment 3.1M.117 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 9
results/hg19/1M/R500/CTCF/runtime/Simulation_118.runtime:Experiment 3.1M.118 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 9
results/hg19/1M/R500/CTCF/runtime/Simulation_119.runtime:Experiment 3.1M.119 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 10
results/hg19/1M/R500/CTCF/runtime/Simulation_11.runtime:Experiment 3.1M.11 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 8
results/hg19/1M/R500/CTCF/runtime/Simulation_120.runtime:Experiment 3.1M.120 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 9
results/hg19/1M/R500/CTCF/runtime/Simulation_121.runtime:Experiment 3.1M.121 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 11
results/hg19/1M/R500/CTCF/runtime/Simulation_122.runtime:Experiment 3.1M.122 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 9
results/hg19/1M/R500/CTCF/runtime/Simulation_123.runtime:Experiment 3.1M.123 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 9
results/hg19/1M/R500/CTCF/runtime/Simulation_124.runtime:Experiment 3.1M.124 (/storage/home/owl5022/scratch/GenoPipe/paper/SyntheticEpitope/results/hg19/1M/R500/CTCF) finished in 9
